district_id,district,treatment_control_group,district_price_effect,total_token_price_effect,total_phone_price_effect,mean_post_price_effect_count,mean_post_price_effect_percent,mean_reorder_price_effect_count,mean_reorder_price_effect_percent,lag_total_token_price_effect,lag_total_phone_price_effect,total_token_price_effect_detrend,total_phone_price_effect_detrend,total_token,total_phone,reorder_payment_count,total_token_price_effect_ratio,total_phone_price_effect_ratio,total_token_price_effect_detrend_ratio,total_phone_price_effect_detrend_ratio
161,dehkade-olympic,10,0,193,1409,-0.730641436,-1.95997336,1.92276742,191.8108036,,,,,15864,13920,7687,0.01216591,0.101221264,,
161,dehkade-olympic,10,1,25,22,,,,,193,1409,-168,-1387,15864,13920,7687,0.001575895,0.00158046,-0.010590015,-0.099640805
161,dehkade-olympic,10,2,7,4,,,,,25,22,-18,-18,15864,13920,7687,0.000441251,0.000287356,-0.001134644,-0.001293103
262,nemat-abad,21,0,6,262,-0.045454545,-3.571428571,0.694444444,138.8888889,,,,,6401,6187,847,0.000937354,0.042346856,,
262,nemat-abad,21,2,3,3,,,,,6,262,-3,-259,6401,6187,847,0.000468677,0.000484888,-0.000468677,-0.041861969
276,amir-bahador,30,0,19,520,-0.301359355,-0.238204778,0.474002188,-100,,,,,5867,5146,1257,0.003238452,0.101049359,,
276,amir-bahador,30,1,18,15,,,,,19,520,-1,-505,5867,5146,1257,0.003068007,0.002914885,-0.000170445,-0.098134473
276,amir-bahador,30,2,9,6,,,,,18,15,-9,-9,5867,5146,1257,0.001534004,0.001165954,-0.001534004,-0.001748931
87,ararat,10,0,4,293,-1.083333333,-31.73076923,1.033333333,53.33333333,,,,,1644,1563,1079,0.00243309,0.187460013,,
87,ararat,10,1,7,7,,,,,4,293,3,-286,1644,1563,1079,0.004257908,0.004478567,0.001824818,-0.182981446
87,ararat,10,2,1,1,,,,,7,7,-6,-6,1644,1563,1079,0.000608273,0.000639795,-0.003649635,-0.003838772
159,shahrak-e-parvaz,10,0,29,779,0.108690476,21.32072829,0.609047619,-54.04761905,,,,,4578,4228,2131,0.006334644,0.184247871,,
159,shahrak-e-parvaz,10,1,37,24,,,,,29,779,8,-755,4578,4228,2131,0.008082132,0.005676443,0.001747488,-0.178571429
159,shahrak-e-parvaz,10,2,8,7,,,,,37,24,-29,-17,4578,4228,2131,0.001747488,0.001655629,-0.006334644,-0.004020814
198,azari,30,0,58,1469,-0.649534756,-6.555019548,0.611302682,9.047619048,,,,,14087,12262,2640,0.004117271,0.119801011,,
198,azari,30,1,22,14,,,,,58,1469,-36,-1455,14087,12262,2640,0.001561724,0.001141739,-0.002555548,-0.118659273
421,lavasan,0,0,264,1984,-0.335338166,7.527412109,1.625631776,119.8737343,,,,,,,,,,,
421,lavasan,0,1,98,59,,,,,264,1984,-166,-1925,,,,,,,
421,lavasan,0,2,58,8,,,,,98,59,-40,-51,,,,,,,
1005,soleymani,21,0,24,833,-0.284040404,-8.028842431,0.705959596,138.8888889,,,,,7325,6370,1918,0.003276451,0.130769231,,
1005,soleymani,21,2,19,16,,,,,24,833,-5,-817,7325,6370,1918,0.002593857,0.002511774,-0.000682594,-0.128257457
46,golab-dareh,10,0,4,146,-0.5,-16.66666667,0.25,0,,,,,1117,1058,266,0.003581021,0.137996219,,
46,golab-dareh,10,1,9,7,,,,,4,146,5,-139,1117,1058,266,0.008057296,0.006616257,0.004476276,-0.131379962
277,amiriyeh,31,0,192,1285,-0.898036801,-2.812322496,1.404402696,44.97622863,,,,,16896,15046,5353,0.011363636,0.085404759,,
277,amiriyeh,31,2,37,30,,,,,192,1285,-155,-1255,16896,15046,5353,0.002189867,0.001993885,-0.009173769,-0.083410873
51,shahrak-e-mahalati,10,0,33,458,-0.212076465,-7.321197718,0.447149725,64.4017094,,,,,4730,4307,3306,0.006976744,0.106338519,,
51,shahrak-e-mahalati,10,1,30,18,,,,,33,458,-3,-440,4730,4307,3306,0.006342495,0.004179243,-0.000634249,-0.102159276
51,shahrak-e-mahalati,10,2,8,4,,,,,30,18,-22,-14,4730,4307,3306,0.001691332,0.000928721,-0.004651163,-0.003250522
308,shahrak-e-vilashahr,10,0,11,83,-0.924175824,-18.94260855,-0.117582418,-100,,,,,895,825,93,0.012290503,0.100606061,,
308,shahrak-e-vilashahr,10,1,1,1,,,,,11,83,-10,-82,895,825,93,0.001117318,0.001212121,-0.011173184,-0.099393939
165,west-shahrak-e-golestan,10,0,415,3245,-0.624015446,-6.455152361,1.245971197,69.85513305,,,,,38619,33111,16642,0.010746006,0.098003685,,
165,west-shahrak-e-golestan,10,1,64,52,,,,,415,3245,-351,-3193,38619,33111,16642,0.001657215,0.001570475,-0.00908879,-0.09643321
165,west-shahrak-e-golestan,10,2,6,5,,,,,64,52,-58,-47,38619,33111,16642,0.000155364,0.000151007,-0.001501851,-0.001419468
288,sheykh-al-raeis,20,0,23,277,-0.007783883,8.421578422,-0.139529915,-37.03703704,,,,,2872,2634,461,0.008008357,0.10516325,,
288,sheykh-al-raeis,20,1,14,11,,,,,23,277,-9,-266,2872,2634,461,0.004874652,0.004176158,-0.003133705,-0.100987092
288,sheykh-al-raeis,20,2,1,1,,,,,14,11,-13,-10,2872,2634,461,0.000348189,0.000379651,-0.004526462,-0.003796507
972,shahed,30,0,8,124,-0.033333333,13.88888889,-0.083333333,0,,,,,1080,1037,152,0.007407407,0.119575699,,
972,shahed,30,1,10,9,,,,,8,124,2,-115,1080,1037,152,0.009259259,0.008678881,0.001851852,-0.110896818
40,ajoodanieh,10,0,123,5010,0.035336814,5.441045778,1.171674977,109.649411,,,,,26128,24866,12914,0.004707593,0.201479932,,
40,ajoodanieh,10,1,121,94,,,,,123,5010,-2,-4916,26128,24866,12914,0.004631047,0.003780262,-7.65E-05,-0.19769967
40,ajoodanieh,10,2,21,19,,,,,121,94,-100,-75,26128,24866,12914,0.000803735,0.000764096,-0.003827312,-0.003016167
47,darabad,10,0,104,1733,0.12915297,1.529653286,0.744452271,85.56166056,,,,,9844,9302,4312,0.010564811,0.186304021,,
47,darabad,10,1,74,47,,,,,104,1733,-30,-1686,9844,9302,4312,0.007517269,0.005052677,-0.003047542,-0.181251344
47,darabad,10,2,4,3,,,,,74,47,-70,-44,9844,9302,4312,0.000406339,0.000322511,-0.007110931,-0.004730166
272,doolab,30,0,77,363,-0.115923849,7.086405354,0.152636757,50,,,,,5125,4448,763,0.01502439,0.081609712,,
272,doolab,30,1,8,8,,,,,77,363,-69,-355,5125,4448,763,0.001560976,0.001798561,-0.013463415,-0.079811151
272,doolab,30,2,2,2,,,,,8,8,-6,-6,5125,4448,763,0.000390244,0.00044964,-0.001170732,-0.001348921
155,shahr-e-ziba,10,0,525,5836,-0.329769145,-0.061750943,2.551424295,134.655145,,,,,54364,48128,50250,0.009657126,0.121259973,,
155,shahr-e-ziba,10,1,229,112,,,,,525,5836,-296,-5724,54364,48128,50250,0.004212346,0.002327128,-0.00544478,-0.118932846
155,shahr-e-ziba,10,2,47,30,,,,,229,112,-182,-82,54364,48128,50250,0.000864543,0.000623338,-0.003347804,-0.00170379
286,eshrat-abad,10,0,65,673,-0.074886551,3.461708642,0.614357375,-22.85714286,,,,,5728,5289,1990,0.011347765,0.127245226,,
286,eshrat-abad,10,1,23,20,,,,,65,673,-42,-653,5728,5289,1990,0.004015363,0.003781433,-0.007332402,-0.123463793
158,sazamn-barnameh,10,0,477,5869,0.029917132,6.723404105,1.605222929,109.4262789,,,,,44090,40363,31021,0.01081878,0.145405446,,
158,sazamn-barnameh,10,1,233,142,,,,,477,5869,-244,-5727,44090,40363,31021,0.005284645,0.003518073,-0.005534135,-0.141887372
158,sazamn-barnameh,10,2,58,32,,,,,233,142,-175,-110,44090,40363,31021,0.001315491,0.000792805,-0.003969154,-0.002725268
115,oghaf,10,0,401,1135,-0.158808259,1.364822455,0.57427343,9.362349192,,,,,18721,15807,5338,0.021419796,0.071803631,,
115,oghaf,10,1,31,28,,,,,401,1135,-370,-1107,18721,15807,5338,0.001655894,0.001771367,-0.019763902,-0.070032264
268,zehtabi,30,0,12,224,-0.212962963,-3.968253968,0.845679012,164.5833333,,,,,2137,2007,501,0.005615349,0.111609367,,
268,zehtabi,30,1,5,4,,,,,12,224,-7,-220,2137,2007,501,0.002339729,0.001993024,-0.00327562,-0.109616343
268,zehtabi,30,2,1,1,,,,,5,4,-4,-3,2137,2007,501,0.000467946,0.000498256,-0.001871783,-0.001494768
269,vasfenard,30,0,9,198,0,10,-0.1,-100,,,,,2403,2277,385,0.003745318,0.086956522,,
269,vasfenard,30,1,5,3,,,,,9,198,-4,-195,2403,2277,385,0.002080732,0.001317523,-0.001664586,-0.085638999
269,vasfenard,30,2,1,1,,,,,5,3,-4,-2,2403,2277,385,0.000416146,0.000439174,-0.001664586,-0.000878349
72,zafar,10,0,204,3450,-0.824623861,-12.25064801,1.806395556,135.3966034,,,,,29137,26257,23608,0.007001407,0.131393533,,
72,zafar,10,1,82,59,,,,,204,3450,-122,-3391,29137,26257,23608,0.002814291,0.00224702,-0.004187116,-0.129146513
72,zafar,10,2,7,6,,,,,82,59,-75,-53,29137,26257,23608,0.000240244,0.00022851,-0.002574047,-0.002018509
913,saeed-abad,31,0,8,185,-0.394727891,-23.54645355,0.357142857,100,,,,,2393,2277,489,0.003343084,0.081247255,,
913,saeed-abad,31,2,11,10,,,,,8,185,3,-175,2393,2277,489,0.00459674,0.004391744,0.001253656,-0.076855512
1028,tehran-jolfa,10,0,75,1198,-0.235702618,1.131599201,0.922993799,17.95051814,,,,,6850,6458,4368,0.010948905,0.185506349,,
1028,tehran-jolfa,10,1,29,26,,,,,75,1198,-46,-1172,6850,6458,4368,0.004233577,0.004026014,-0.006715328,-0.181480334
1028,tehran-jolfa,10,2,4,4,,,,,29,26,-25,-22,6850,6458,4368,0.000583942,0.000619387,-0.003649635,-0.003406627
178,tehransar,10,0,1028,3306,-0.338143701,1.651050104,0.776702641,63.68365153,,,,,53767,48102,15588,0.019119534,0.068728951,,
178,tehransar,10,1,87,50,,,,,1028,3306,-941,-3256,53767,48102,15588,0.001618093,0.001039458,-0.017501441,-0.067689493
178,tehransar,10,2,12,6,,,,,87,50,-75,-44,53767,48102,15588,0.000223185,0.000124735,-0.001394908,-0.000914723
1029,dr-hoshyar,20,0,38,875,0.141601732,34.40394737,-0.000649351,7.142857143,,,,,7404,6896,2857,0.005132361,0.126885151,,
1029,dr-hoshyar,20,1,38,28,,,,,38,875,0,-847,7404,6896,2857,0.005132361,0.004060325,0,-0.122824826
1029,dr-hoshyar,20,2,6,5,,,,,38,28,-32,-23,7404,6896,2857,0.000810373,0.000725058,-0.004321988,-0.003335267
103,shian,10,0,57,451,-0.671734663,-11.38335491,1.32010582,-34.20634921,,,,,4568,4046,1497,0.012478109,0.111468117,,
103,shian,10,1,13,9,,,,,57,451,-44,-442,4568,4046,1497,0.002845884,0.002224419,-0.009632224,-0.109243697
103,shian,10,2,1,1,,,,,13,9,-12,-8,4568,4046,1497,0.000218914,0.000247158,-0.00262697,-0.001977261
143,almahdi,10,0,28,704,0.394270833,31.99404762,-1.2234375,-26.35869565,,,,,4280,3866,2108,0.006542056,0.182100362,,
143,almahdi,10,1,20,17,,,,,28,704,-8,-687,4280,3866,2108,0.004672897,0.00439731,-0.001869159,-0.177703052
143,almahdi,10,2,4,3,,,,,20,17,-16,-14,4280,3866,2108,0.000934579,0.000775996,-0.003738318,-0.003621314
998,qalamestan,31,0,1,96,0,0,0,,,,,,1073,939,248,0.000931966,0.102236422,,
998,qalamestan,31,2,2,2,,,,,1,96,1,-94,1073,939,248,0.001863933,0.002129925,0.000931966,-0.100106496
958,khaje-nezam-molk,10,0,257,1201,-0.357621328,-2.17327284,1.312887351,48.37267671,,,,,13163,11611,5587,0.019524425,0.103436397,,
958,khaje-nezam-molk,10,1,55,39,,,,,257,1201,-202,-1162,13163,11611,5587,0.004178379,0.003358884,-0.015346046,-0.100077513
958,khaje-nezam-molk,10,2,1,1,,,,,55,39,-54,-38,13163,11611,5587,7.60E-05,8.61E-05,-0.004102408,-0.003272759
56,zafaraniyeh,10,0,680,6047,-0.53834472,-8.46362396,1.770676123,176.5494699,,,,,107036,90641,53955,0.006353003,0.066713739,,
56,zafaraniyeh,10,1,226,119,,,,,680,6047,-454,-5928,107036,90641,53955,0.002111439,0.001312872,-0.004241564,-0.065400867
56,zafaraniyeh,10,2,45,27,,,,,226,119,-181,-92,107036,90641,53955,0.000420419,0.000297878,-0.00169102,-0.001014993
963,shahid-asadi,20,0,9,77,0.25,11.42857143,1.65,,,,,,1788,1104,111,0.005033557,0.069746377,,
963,shahid-asadi,20,1,8,7,,,,,9,77,-1,-70,1788,1104,111,0.004474273,0.00634058,-0.000559284,-0.063405797
915,shamshiri,20,0,4,122,1,100,-0.25,-100,,,,,1335,1225,267,0.002996255,0.099591837,,
915,shamshiri,20,1,3,3,,,,,4,122,-1,-119,1335,1225,267,0.002247191,0.00244898,-0.000749064,-0.097142857
148,south-janat-abad,11,0,791,9431,-1.055424775,-13.65626639,1.851067137,157.9774508,,,,,90409,81912,58708,0.008749129,0.115135755,,
148,south-janat-abad,11,2,161,129,,,,,791,9431,-630,-9302,90409,81912,58708,0.001780796,0.001574861,-0.006968333,-0.113560895
978,safaiye,20,0,6,163,0.5,50,0,,,,,,1638,1574,179,0.003663004,0.103557814,,
978,safaiye,20,1,6,6,,,,,6,163,0,-157,1638,1574,179,0.003663004,0.003811944,0,-0.09974587
266,molavi,30,0,64,981,-0.85245543,-18.96091389,2.169629474,88.75915751,,,,,11509,10692,5375,0.005560865,0.091750842,,
266,molavi,30,1,13,8,,,,,64,981,-51,-973,11509,10692,5375,0.001129551,0.000748223,-0.004431315,-0.091002619
266,molavi,30,2,18,12,,,,,13,8,5,4,11509,10692,5375,0.001563993,0.001122334,0.000434443,0.000374111
1002,hashemi,20,0,39,1739,-0.309666667,-8.187830688,-0.341666667,-37.37824675,,,,,12659,10911,3825,0.003080812,0.159380442,,
1002,hashemi,20,1,39,36,,,,,39,1739,0,-1703,12659,10911,3825,0.003080812,0.003299423,0,-0.156081019
1002,hashemi,20,2,15,8,,,,,39,36,-24,-28,12659,10911,3825,0.001184928,0.000733205,-0.001895884,-0.002566218
109,east-tehranpars,10,0,1479,6501,-0.230861278,1.327476959,0.955234595,95.16414597,,,,,76859,69671,30743,0.019243029,0.093309986,,
109,east-tehranpars,10,1,118,89,,,,,1479,6501,-1361,-6412,76859,69671,30743,0.001535279,0.001277433,-0.017707751,-0.092032553
109,east-tehranpars,10,2,16,7,,,,,118,89,-102,-82,76859,69671,30743,0.000208173,0.000100472,-0.001327105,-0.00117696
977,shahadat,20,0,1,109,-0.666666667,-40,0,,,,,,1450,1353,175,0.000689655,0.080561715,,
977,shahadat,20,1,6,4,,,,,1,109,5,-105,1450,1353,175,0.004137931,0.002956393,0.003448276,-0.077605322
168,kooy-e-bimeh,10,0,126,898,-0.291587453,3.517300252,0.09692116,-11.86063011,,,,,6442,5804,2468,0.019559143,0.154720882,,
168,kooy-e-bimeh,10,1,13,11,,,,,126,898,-113,-887,6442,5804,2468,0.002018007,0.001895245,-0.017541136,-0.152825637
168,kooy-e-bimeh,10,2,3,3,,,,,13,11,-10,-8,6442,5804,2468,0.000465694,0.000516885,-0.001552313,-0.00137836
203,tohid,10,0,71,1121,-0.560616566,-8.920026399,1.284502336,42.80129336,,,,,7272,6779,4935,0.009763476,0.165363623,,
203,tohid,10,1,42,32,,,,,71,1121,-29,-1089,7272,6779,4935,0.005775578,0.00472046,-0.003987899,-0.160643163
236,shahrak-e-takhti,30,0,4,75,-0.537037037,-23.0994152,0.333333333,,,,,,1402,1348,171,0.002853067,0.055637982,,
236,shahrak-e-takhti,30,1,4,4,,,,,4,75,0,-71,1402,1348,171,0.002853067,0.002967359,0,-0.052670623
236,shahrak-e-takhti,30,2,1,1,,,,,4,4,-3,-3,1402,1348,171,0.000713267,0.00074184,-0.0021398,-0.002225519
950,sabalan,10,0,278,1852,-0.378542268,2.505536686,0.830444078,35.08580925,,,,,18012,16439,6653,0.015434155,0.112658921,,
950,sabalan,10,1,68,55,,,,,278,1852,-210,-1797,18012,16439,6653,0.003775261,0.003345702,-0.011658894,-0.109313219
950,sabalan,10,2,2,2,,,,,68,55,-66,-53,18012,16439,6653,0.000111037,0.000121662,-0.003664224,-0.00322404
979,ebn-babevayh,20,0,5,252,0.355555556,20.83333333,0,,,,,,1943,1850,214,0.00257334,0.136216216,,
979,ebn-babevayh,20,1,10,10,,,,,5,252,5,-242,1943,1850,214,0.00514668,0.005405405,0.00257334,-0.130810811
979,ebn-babevayh,20,2,2,2,,,,,10,10,-8,-8,1943,1850,214,0.001029336,0.001081081,-0.004117344,-0.004324324
78,shahrak-e-gharb,10,0,787,6522,-0.815315377,-12.13163654,4.882678167,203.1469116,,,,,88407,74921,81634,0.00890201,0.087051694,,
78,shahrak-e-gharb,10,1,135,97,,,,,787,6522,-652,-6425,88407,74921,81634,0.001527028,0.001294697,-0.007374982,-0.085756997
78,shahrak-e-gharb,10,2,14,13,,,,,135,97,-121,-84,88407,74921,81634,0.000158359,0.000173516,-0.00136867,-0.001121181
1014,imam-sajjad,30,0,,67,,,,,,,,,794,758,108,,0.088390501,,
1014,imam-sajjad,30,1,6,3,,,,,,67,,-64,794,758,108,0.007556675,0.003957784,,-0.084432718
90,yousef-abad,11,0,548,3348,-1.361802041,-22.71920769,3.386075658,265.9055805,,,,,60698,49416,49751,0.009028304,0.067751336,,
90,yousef-abad,11,2,111,88,,,,,548,3348,-437,-3260,60698,49416,49751,0.001828726,0.0017808,-0.007199578,-0.065970536
133,vahidiyeh,20,0,150,1392,-0.217093422,5.691558907,0.140954713,15.11862212,,,,,11724,10220,2307,0.012794268,0.136203523,,
133,vahidiyeh,20,1,34,24,,,,,150,1392,-116,-1368,11724,10220,2307,0.002900034,0.002348337,-0.009894234,-0.133855186
133,vahidiyeh,20,2,1,1,,,,,34,24,-33,-23,11724,10220,2307,8.53E-05,9.78E-05,-0.002814739,-0.002250489
84,zargandeh,10,0,23,604,-0.010416667,4.43452381,0.216269841,11.11111111,,,,,2902,2760,1733,0.007925569,0.21884058,,
84,zargandeh,10,1,7,7,,,,,23,604,-16,-597,2902,2760,1733,0.00241213,0.002536232,-0.005513439,-0.216304348
84,zargandeh,10,2,2,2,,,,,7,7,-5,-5,2902,2760,1733,0.00068918,0.000724638,-0.00172295,-0.001811594
941,qoba,10,0,11,705,-0.157575758,-9.415584416,0.537878788,-33.33333333,,,,,3746,3572,1829,0.002936466,0.197368421,,
941,qoba,10,1,25,24,,,,,11,705,14,-681,3746,3572,1829,0.006673785,0.006718925,0.00373732,-0.190649496
941,qoba,10,2,1,1,,,,,25,24,-24,-23,3746,3572,1829,0.000266951,0.000279955,-0.006406834,-0.00643897
206,baqerkhan,10,0,37,733,0.155860806,30.8642106,0.718046398,104.1044242,,,,,4534,4252,1982,0.008160565,0.172389464,,
206,baqerkhan,10,1,47,28,,,,,37,733,10,-705,4534,4252,1982,0.010366123,0.006585136,0.002205558,-0.165804327
206,baqerkhan,10,2,5,4,,,,,47,28,-42,-24,4534,4252,1982,0.001102779,0.000940734,-0.009263344,-0.005644403
199,fallah,30,0,486,2233,-0.026495288,3.959569858,0.441047403,21.29689408,,,,,32974,30043,7473,0.014738885,0.074326798,,
199,fallah,30,1,68,36,,,,,486,2233,-418,-2197,32974,30043,7473,0.002062231,0.001198282,-0.012676654,-0.073128516
199,fallah,30,2,13,8,,,,,68,36,-55,-28,32974,30043,7473,0.00039425,0.000266285,-0.001667981,-0.000931997
220,abdol-abad,20,0,11,274,-0.392045455,-11.2745098,0.847853535,227.7777778,,,,,6507,6174,715,0.001690487,0.044379657,,
220,abdol-abad,20,1,11,10,,,,,11,274,0,-264,6507,6174,715,0.001690487,0.001619695,0,-0.042759961
113,shahrak-e-omid,10,0,7,120,-0.354761905,-19.13553114,0.438095238,,,,,,650,625,223,0.010769231,0.192,,
658,valiasr,10,0,99,1688,-0.165056761,-3.056125756,1.28756274,55.05952381,,,,,12632,11886,7526,0.007837239,0.142015817,,
658,valiasr,10,1,76,48,,,,,99,1688,-23,-1640,12632,11886,7526,0.006016466,0.004038364,-0.001820773,-0.137977452
658,valiasr,10,2,5,4,,,,,76,48,-71,-44,12632,11886,7526,0.00039582,0.00033653,-0.005620646,-0.003701834
88,gisha,10,0,408,1823,-1.685926528,-13.56503933,6.52949116,401.9297936,,,,,37464,30676,45347,0.010890455,0.059427566,,
88,gisha,10,1,74,41,,,,,408,1823,-334,-1782,37464,30676,45347,0.00197523,0.00133655,-0.008915225,-0.058091016
88,gisha,10,2,9,8,,,,,74,41,-65,-33,37464,30676,45347,0.000240231,0.00026079,-0.001734999,-0.00107576
121,hakimiyeh,10,0,419,1516,-0.686766999,-0.408538356,0.612199883,42.75059596,,,,,27198,23355,7408,0.015405545,0.064911154,,
121,hakimiyeh,10,1,49,31,,,,,419,1516,-370,-1485,27198,23355,7408,0.001801603,0.001327339,-0.013603941,-0.063583815
939,niloufar,10,0,85,678,-0.072808012,4.863098632,-0.035648148,-17.70282187,,,,,5234,4840,2468,0.016239969,0.140082645,,
939,niloufar,10,1,23,18,,,,,85,678,-62,-660,5234,4840,2468,0.004394345,0.003719008,-0.011845625,-0.136363636
939,niloufar,10,2,2,2,,,,,23,18,-21,-16,5234,4840,2468,0.000382117,0.000413223,-0.004012228,-0.003305785
1011,tous,30,0,7,842,-0.244444444,4.666666667,-1.133333333,-100,,,,,4450,4233,2465,0.001573034,0.1989133,,
1011,tous,30,1,17,13,,,,,7,842,10,-829,4450,4233,2465,0.003820225,0.003071108,0.002247191,-0.195842192
1011,tous,30,2,3,3,,,,,17,13,-14,-10,4450,4233,2465,0.000674157,0.000708717,-0.003146067,-0.002362391
919,tehran-hesarak,10,0,6,160,0.1875,11.66666667,0.625,,,,,,1851,1697,320,0.003241491,0.094284031,,
919,tehran-hesarak,10,1,8,7,,,,,6,160,2,-153,1851,1697,320,0.004321988,0.004124926,0.001080497,-0.090159104
1020,abouzar,30,0,261,1115,0.212568102,13.12244657,0.722999566,57.33808675,,,,,14155,12717,2165,0.018438714,0.087677911,,
1020,abouzar,30,1,46,33,,,,,261,1115,-215,-1082,14155,12717,2165,0.003249735,0.002594952,-0.015188979,-0.08508296
1020,abouzar,30,2,2,2,,,,,46,33,-44,-31,14155,12717,2165,0.000141293,0.00015727,-0.003108442,-0.002437682
250,yakhchi-abad,30,0,30,340,-0.352777778,-14.66869576,0.282029478,-76.19047619,,,,,5261,4984,627,0.005702338,0.068218299,,
250,yakhchi-abad,30,1,5,5,,,,,30,340,-25,-335,5261,4984,627,0.00095039,0.00100321,-0.004751948,-0.067215088
250,yakhchi-abad,30,2,1,1,,,,,5,5,-4,-4,5261,4984,627,0.000190078,0.000200642,-0.000760312,-0.000802568
916,tolid-daroo,30,0,79,353,-1.53972694,-25.7494619,0.367752914,16.66666667,,,,,5853,4881,1064,0.013497352,0.072321246,,
916,tolid-daroo,30,1,53,20,,,,,79,353,-26,-333,5853,4881,1064,0.009055185,0.004097521,-0.004442166,-0.068223725
967,nabi-akram,30,0,14,193,0.820436508,52.59259259,-1.261904762,-100,,,,,2211,1764,295,0.006331976,0.109410431,,
967,nabi-akram,30,1,10,9,,,,,14,193,-4,-184,2211,1764,295,0.00452284,0.005102041,-0.001809136,-0.10430839
967,nabi-akram,30,2,3,3,,,,,10,9,-7,-6,2211,1764,295,0.001356852,0.00170068,-0.003165988,-0.003401361
981,abbas-abad-rey,20,0,5,203,-0.636666667,-27.73626374,6.106666667,218.3333333,,,,,3849,3610,978,0.001299039,0.056232687,,
981,abbas-abad-rey,20,1,9,7,,,,,5,203,4,-196,3849,3610,978,0.00233827,0.001939058,0.001039231,-0.054293629
118,dardasht,21,0,53,584,-0.257039287,-0.232788784,1.435770144,433.4199134,,,,,5279,4495,2448,0.01003978,0.129922136,,
118,dardasht,21,2,37,24,,,,,53,584,-16,-560,5279,4495,2448,0.007008903,0.005339266,-0.003030877,-0.12458287
923,kuy-faraz,10,0,30,456,1.225,30.0617284,0.737962963,44.30555556,,,,,2118,2044,1411,0.014164306,0.223091977,,
923,kuy-faraz,10,1,9,9,,,,,30,456,-21,-447,2118,2044,1411,0.004249292,0.004403131,-0.009915014,-0.218688845
923,kuy-faraz,10,2,1,1,,,,,9,9,-8,-8,2118,2044,1411,0.000472144,0.000489237,-0.003777148,-0.003913894
1015,bisim,31,0,13,176,-0.518027211,-4.792917167,0.152721088,-62.5,,,,,2195,2098,440,0.005922551,0.083889418,,
55,velenjak,10,0,584,4522,-0.354834227,2.646194905,1.477186506,116.1419092,,,,,72355,62864,34025,0.008071315,0.071933062,,
55,velenjak,10,1,102,80,,,,,584,4522,-482,-4442,72355,62864,34025,0.001409716,0.001272588,-0.006661599,-0.070660473
55,velenjak,10,2,20,11,,,,,102,80,-82,-69,72355,62864,34025,0.000276415,0.000174981,-0.001133301,-0.001097608
228,south-deylaman,20,0,74,703,0.00531413,18.09389816,0.371209346,-100,,,,,8322,7660,1503,0.008892093,0.091775457,,
228,south-deylaman,20,1,75,37,,,,,74,703,1,-666,8322,7660,1503,0.009012257,0.004830287,0.000120163,-0.08694517
228,south-deylaman,20,2,9,3,,,,,75,37,-66,-34,8322,7660,1503,0.001081471,0.000391645,-0.007930786,-0.004438642
930,bagh-ferdows,10,0,3,588,-0.333333333,-16.66666667,1.166666667,,,,,,2056,1991,1382,0.001459144,0.29532898,,
930,bagh-ferdows,10,1,8,8,,,,,3,588,5,-580,2056,1991,1382,0.003891051,0.004018081,0.002431907,-0.291310899
930,bagh-ferdows,10,2,2,2,,,,,8,8,-6,-6,2056,1991,1382,0.000972763,0.00100452,-0.002918288,-0.003013561
951,ashtiyani,20,0,6,191,-0.03,-2.095238095,-0.45,-75,,,,,1866,1694,385,0.003215434,0.112750885,,
951,ashtiyani,20,1,7,7,,,,,6,191,1,-184,1866,1694,385,0.00375134,0.004132231,0.000535906,-0.108618654
951,ashtiyani,20,2,1,1,,,,,7,7,-6,-6,1866,1694,385,0.000535906,0.000590319,-0.003215434,-0.003541913
122,zeynabeiyeh,20,0,,2,,,,,,,,,44,44,5,,0.045454545,,
54,darband,10,0,22,1331,-0.723280423,-11.59693463,-0.052910053,-36.41975309,,,,,7177,6840,4160,0.003065348,0.194590643,,
54,darband,10,1,77,52,,,,,22,1331,55,-1279,7177,6840,4160,0.010728717,0.007602339,0.007663369,-0.186988304
54,darband,10,2,5,3,,,,,77,52,-72,-49,7177,6840,4160,0.00069667,0.000438596,-0.010032047,-0.007163743
956,taslihat,20,0,60,746,-0.147641723,3.584227598,0.551893424,93.25892857,,,,,5671,5012,1158,0.010580145,0.148842777,,
956,taslihat,20,1,32,20,,,,,60,746,-28,-726,5671,5012,1158,0.005642744,0.003990423,-0.004937401,-0.144852354
62,kamraniyeh,11,0,81,5124,-0.747697004,-24.01216003,2.090457875,94.99000999,,,,,24090,22639,14150,0.003362391,0.226335085,,
62,kamraniyeh,11,2,49,45,,,,,81,5124,-32,-5079,24090,22639,14150,0.002034039,0.00198772,-0.001328352,-0.224347365
147,shahin,11,0,67,1672,-1.465644594,-32.81979042,4.514447774,177.490751,,,,,9728,8791,8651,0.006887336,0.190194517,,
147,shahin,11,2,20,17,,,,,67,1672,-47,-1655,9728,8791,8651,0.002055921,0.001933796,-0.004831414,-0.188260721
253,khazaneh,31,0,50,451,-1.194491175,-28.11360335,0.322499611,94.71306471,,,,,9794,8979,1655,0.005105166,0.050228311,,
253,khazaneh,31,2,13,11,,,,,50,451,-37,-440,9794,8979,1655,0.001327343,0.001225081,-0.003777823,-0.04900323
420,pardis,0,0,2511,9525,-0.638557561,-9.341467416,3.041016183,217.583674,,,,,,,,,,,
